context,answer
"For sure. I mean not everyone, but for sure in recent years billionaire has become pejorative like that’s a bad thing. Which I think doesn’t make a lot of sense in most cases. If you basically organized a company … How does this wealth arise? If you organize people in a better way to produce products and services that are better than what existed before and you have some ownership in that company then that essentially gives you the right to allocate more capital.","There’s a conflation of consumption and capital allocation. Take Warren Buffet, for example, and to be totally frank I’m not his biggest fan, but you know, he does like have full allocation and he reads a lot of annual reports of companies and all the accounting and it’s pretty boring really. He’s trying to figure out does Coke or Pepsi deserve more capital? I mean it’s kind of a boring job if you ask me."
"There’s a conflation of consumption and capital allocation. Take Warren Buffet, for example, and to be totally frank I’m not his biggest fan, but you know, he does like have full allocation and he reads a lot of annual reports of companies and all the accounting and it’s pretty boring really. He’s trying to figure out does Coke or Pepsi deserve more capital? I mean it’s kind of a boring job if you ask me.","It’s still a thing that’s important to figure out. Like, which is a company deserving of more or less capital. Should that company grow or expand? Is it making products and services that are better than others or worse? If a company is making compelling products and services, it should get more capital and if it’s not, it should get less or go out of business."
"Well, there’s a big difference, too, between someone who’s making an incredible amount of money designing and engineering fantastic products versus someone who’s making an incredible amount of money by investing in companies or moving money around in the stock market or doing things along those lines. It’s a different thing and to put them all in the same category seems, it’s very simple. As you pointed out, it’s an attack vector.","Yeah, for sure. I think it’s really, I do think there, in the United States especially, there’s an over allocation of talent in finance and law. Basically, too many smart people go into finance and law. This is both a compliment and a criticism. We should have, I think, fewer people doing law and fewer people doing finance and more people making stuff."
Yeah.,Yeah.
Well that would certainly be better for all involved if they made better stuff.,"Yeah, yeah, absolutely. Manufacturing used to be highly valued in the United States and these days it’s not. It’s often looked down upon, which I think is wrong."
"Yeah. Well, I think that people are kind of learning that particularly because of this whole pandemic and this relationship that we have with China, that there’s a lot of value in making things and to making things here.",Yes. Somebody’s got to do the real work.
Yeah.,"You know? Making a car, it’s an honest days living, that’s for sure. Making anything, really, or providing a valuable service like providing good entertainment, good information, these are all valuable things to do. Yeah, there should be more of it."
"Did you have a moment where, is this something that this idea of getting rid of your material possessions is it something that built up over time or did you have a moment of realization where you realized that …","Yeah, I’ve been thinking about it for a while. You know, part of it is like I have a bunch of houses, but I don’t spend a lot of time in most of them. That doesn’t seem like a good use of assets. Somebody could probably be enjoying those houses and get better use of them me."
Don’t you have Gene Wilder’s house?,I do.
That’s amazing.,It’s awesome.
Wow.,Yes. It’s exactly what you’d expect.
Did you request that the buyer not fuck it up?,"Yeah, that’s a requirement."
"Oh, a requirement? That’s a good requirement.",Yeah.
In that case in that house.,"Yeah, it’ll probably sell for less, but still I don’t care."
"Oh, he’s a legend. He’d want his soul, he’d want his essence in the building.",And it’s there.
Is it?,"It’s a real quirky house, yeah."
What makes you say that? What do you get out of it?,"I mean, all the cabinets are like handmade and they’re like odd shapes and there’s like doors to nowhere and strange corridors and tunnels and odd paintings on the wall. Yeah."
Did you ever live in it?,"It’s very quirky. I did live in it briefly, yeah."
"But why do you buy houses? If you own all these houses, do you just get bored and go I think I’d like to have that?","Well, I had one house and the Gene Wilder house is right across the road from me from my main house. It was going to get sold and then torn down and turned into, you know, be a big construction zone for three years. I was like, whoa, I think I’ll buy it and preserve the spirit of Gene Wilder and not have a giant construction zone. Then I started having some privacy issues where people would just come to my house and start climbing over the walls and stuff. I’m like, man …"
"Well, I had one house and the Gene Wilder house is right across the road from me from my main house. It was going to get sold and then torn down and turned into, you know, be a big construction zone for three years. I was like, whoa, I think I’ll buy it and preserve the spirit of Gene Wilder and not have a giant construction zone. Then I started having some privacy issues where people would just come to my house and start climbing over the walls and stuff. I’m like, man …","Then I sort of bought some of the houses around my house and then I thought at one point, well you know, it’d be cool to build a house. I acquired some properties at the top of Somera Road, which has got a great view, and I was like, okay, well there’s a bunch of sort of small older houses, they’re going to get torn down, anyway. I was like, well, if I collect these little houses then I can build something, I don’t know, artistic like a dream house type of thing."
What’s a dream house for Elon Musk? Like some Tony stark type shit?,"Yeah, definitely. Yeah. You got to have the dome that opens up with the stealth helicopter and that kind of thing, you know?"
Yeah.,For sure.
Fuck yeah.,"Definitely. But then I was like, man, does it really make sense for me to spend time designing and building a house and I’d be real, you know, ghetto like OCD on the little details and the design, or should I be allocating that time to getting us to Mars? I should probably do the latter. Like what’s more important? Mars or a house? I’m like Mars. Okay."
"Is that really how you think? Like, I’d be better off planning on a trip to Mars or getting people to Mars?","Yeah, yeah, definitely. I mean, you can only do so many things."
Right.,"Right, so how are you going to [crosstalk 00:14:27]"
"Well, I don’t know how you do what you do anyway. I don’t understand how you can run The Boring Company, Tesla, SpaceX, all these different things you’re doing constantly. I just, I don’t understand. I mean, you explained last time you were here how you sort of allocate your time and how hectic it is and insane. I still don’t, the productivity is baffling. It just doesn’t make sense how you can get so much done.","Well, I think I do have high productivity, but even with that there’s still some opportunity to [inaudible 00:14:57] time and allocating time to building a house, even if it was a really great house, it still is not a good use of time relative to developing the rockets necessary to get us to Mars and helping solve sustainable energy. SpaceX and Tesla are by far, you know, the most amount of brain cycles. The Boring Company does not take, you know, it’s like less than 1% of brain cycles. Then this neural link, which is, I don’t know, maybe it’s like 5% and then …"
5%? That’s a good chunk.,"It’s a good chunk. Yeah, yeah."
"We were talking about that last time and you were trying to figure out when it was actually going to go live, when it’s actually going to be available. Are you testing on people right now?","No, we’re not testing on people yet, but I think it won’t be too long. I think we may be able to implant a neural link in less than a year in a person I think."
"When you do this, is there any tests that you have to do before you do something like this to see what percentage of people’s bodies are going to reject these things? Is there a potential for rejection?","It’s a very low potential for rejection. I mean, you can think of it like people put in heart monitors and things for epileptic seizures and deep brain stimulation obviously like artificial hips and knees and that kind of thing. The probability of, I mean, so it’s well known what will cause rejection and what will not. It’s definitely harder when you’ve got something that is sort of reading and writing neurons that’s generating a current pulse and reading current pulses. That’s a little harder than say a passive device, but it’s still very doable. There are people who have primitive devices in their brains right now."
What kind of devices?,"Well, like deep brain stimulation, I think for Parkinson’s, has really changed people’s lives in a big way, which is kind of remarkable because it kind of like zaps your brain. It’s like kicking the TV type of thing. You think like man, kicking the TV shouldn’t work."
It does sometimes.,"Yeah, yeah."
The old TVs.,It did.
My grandpa used to slap the top.,For sure. Yeah.
It would work sometimes.,"Yeah, so this deep brain stimulation implanted devices in the brain have changed people’s lives for the better like fundamentally."
"Well, let’s talk about what you can talk about to what Neuralink is cause the last time you were here you really couldn’t discuss it. Then there was, I guess a press release or something that sort of outlined … [crosstalk 00:18:04]","Oh yeah, sure, sure."
"Yeah, that had happened quite a bit after the last time you were here. What exactly is it? How do you do, what happens if someone ultimately does get a Neuralink installed what will take place?","Well, for version one of the device, it would be it basically implanted in your skull. It would be flush with your skull, so you basically take out a chunk of skull, put the Neuralink device in there. You’d insert the electrode threads very carefully into the brain and then you stitch it up and you wouldn’t even know that somebody has it. It can interface basically anywhere in your brain. It could be something that helps cure say eyesight, like returns your eyesight even if you’ve lost your optic nerve type of thing."
Really?,"Yeah, yeah, absolutely. I mean, pretty much anything that it could, in principle, fix almost anything that is wrong with the brain. It could restore limb functionality, so if you’ve got an interface into the motor cortex and then an implant that’s like a microcontroller and near muscle groups, you could then create sort of a neural shunt that restores somebody who is a quadriplegic to full functionality. Like they can walk around and be normal."
Whoa.,"Yeah, maybe slightly better."
Slightly better?,"Over time, yes."
You mean with future iterations?,"Like the, you know, $6 million man. Although these days that doesn’t sound like much."
"Right, that’s pretty cheap.",Yeah. Yeah.
$6 billion man.,Yeah.
"The hole would be small, how big would the hole be that you have to drill and then replace with this piece? It’s only one hole?","Well, yeah, the device we’re working on right now is about, it’s about an inch in diameter. Your skull is pretty thick, by the way."
Mine is for sure.,"It might actually, literally, I mean if you’re a big guy, your skull is actually fairly thick. A skull is like seven to 14 millimeters."
Mines probably a couple of inches.,"A half inch. Half inch thick skull ish. Yeah, yeah, that’s a fair bit of like … We’ve got quite a coconut going on there. It’s not like some eggshell."
"Oh yeah, I believe you.","Yeah, you basically implant the device."
"It would be like a one inch square? One inch in diameter, so an inch circle?","Yeah, think like a smartwatch or something like that."
"Oh, okay.",Yeah.
"Okay, so you take this one diameter like ice fishing, right? You ever go ice fishing?","No, but I’d like to."
"It’s great. It’s really fun, so you basically take an auger and you drill through the surface of the ice and you create a small hole. You can dunk your line in there. This is like that. You’re ice fishing on the top of your skull and then you cork it.","Yeah, and you replace that say one inch diameter piece of skull with the Neuralink device and that has a battery and a Bluetooth and an inductive charger. Then you also insert the electrodes. The electrodes are very carefully inserted with a robot that we developed. It’s very carefully putting in the electrodes and avoiding any veins or arteries so it doesn’t create trauma."
"Through this one inch diameter device, electrodes would be inserted and they will find their way …","Like tiny wires, basically."
Tiny wires.,Tiny wires.
They’ll find their way to specific areas of the brain to stimulate?,"No, you literally put them where they’re supposed to go."
"Oh, okay.","Yeah, you insert …"
How long would these wires be?,"I mean, they usually go in like, depending on where it is, like two or three millimeters."
They just find the spots?,Yeah.
Wow.,Then you put the device in and that replaces the little piece of skull that was taken out. Then you stitch up the hole and they just look like a little scar and that’s it.
Would this be replaceable or reversible?,Yeah.
"Like if someone can’t take it anymore? I’m too smart, I can’t take it.","Yeah, you can totally take it out."
"Besides restoring limb function and eyesight and hearing, which are all amazing, is there any cognitive benefits that you anticipate from something like this?","Yeah, I mean you could for sure, I mean, basically it’s a generalized sort of thing for fixing any kind of brain injury in principle, or if you’ve got like severe epilepsy or something like that. It could just sort of stop the epilepsy from occurring. It could detect it in real time and then fire a counter pulse and stop the epilepsy. I mean, there’s a whole range of brain injuries. Like if somebody gets a stroke, they could lose the ability to speak and that could also be fixed. If you’ve got like stroke damage or you lose say muscle control over part of your face or something like that. When you get older you tend to, if you’ve got like Alzheimer’s or something like that, then you lose memory and this could help you with restoring your memory and that kind of thing."
"Restoring memory and what is happening that’s allowing it to do that? Like the wires, these small wires are stimulating these areas of the brain. Is it that the areas of the brain are losing some sort of electrical force? What is happening?",Yeah.
Yeah?,The thing is it’s like a bunch of circuits and there’s some circuits that are broken and we can fix those circuits. It’s a substitute for those circuits.
A specific frequency will go through this?,Yeah.
"Is the process figuring out how much or how little has to be, how much these areas of the brain have to be juiced up?","Yeah. I mean, there’s still a lot of work to do. When I say we’ve got a shot at probably putting in a person within a year, that’s exactly what I mean. I think we have a chance of putting it into one and having them be healthy and restoring some functionality that they’ve lost."
The fear is that eventually you’re going to have to cut the whole top of someone’s head off and put a new top with a whole bunch of wires if you want to get the real turbo charged version. The P 100 D of brain stimulation.,"I mean, ultimately if you want to go with full AI symbiosis, you’ll probably want to do something like that."
Symbiosis is a scary word when it comes to AI.,It’s optional.
I would hope so.,Yeah.
"It’s just, I mean, once you enjoy the Doctor Manhattan lifestyle, once you become a god seems very unlikely you’re going to want to go back to being stupid again. I mean, you literally could fundamentally change the way human beings interface with each other.",Yes.
Yes.,You wouldn’t need to talk.
"I’m so scared of that, but so excited about it at the same time. Is that weird?","Yeah, I think this is one of the paths to think like what are … Like AI is getting better and better. Now let’s assume it’s sort of like a benign AI scenario. Even in a benign scenario, we’re kind of left behind. We’re not along for the ride. We’re just too dumb."
Right.,"How do you go along for the ride? It’s like you can’t beat them, join them. We’re already a cyborg to some degree, right? Cause you’ve got your phone, you’ve got your laptop."
Glasses.,"Yeah, yeah. Your electronic devices."
Yeah.,"Today, if you don’t bring your phone along it’s like you have missing limb syndrome. It feels like something’s really missing. We’re already partly a cyborg or an AI symbiote, essentially it’s just that the data rate to the electronics is slow. Especially output, like you’re just going with your thumbs. I mean like what’s your data rate? Optimistically, a hundred bits per second. That’s being generous."
"Today, if you don’t bring your phone along it’s like you have missing limb syndrome. It feels like something’s really missing. We’re already partly a cyborg or an AI symbiote, essentially it’s just that the data rate to the electronics is slow. Especially output, like you’re just going with your thumbs. I mean like what’s your data rate? Optimistically, a hundred bits per second. That’s being generous.","Now the computer can communicate at like a hundred terabytes. Certainly, you know, gigabits are trivial at this point. This is like, yeah, basically your computer could do things a million times faster. At a certain point it’s like talking to a tree. Okay? It’s just boring. You talk to a tree it’s not very entertaining. If you can solve the data rate issue and you’re especially output input, too, then you can improve the symbiosis that is already occurring between man and machine."
"You can improve it in what, when you said you won’t have to talk to each other anymore. We used to joke around about that. I’ve joked around about that a million times in this podcast that one day in the future there’s going to come a time where you can read each other’s minds. You’ll be able to interface with each other in some sort of a nonverbal, non-physical way where you will transfer data back and forth to each other without having to actually use your mouth. You’ll make noises.","Exactly, so when you … Like what happens when you, let’s say you’ve got some complex idea that you’re trying to convey to somebody else and how do you do that? Well, your brain spends a lot of effort compressing a complex concept into words and there’s a lot of loss, information loss that occurs when compressing a complex concept into words. Then you say those words and those words are then interpreted, then they’re decompressed by the person who is listening. They will, at best, get a very incomplete understanding of what you’re trying to convey. It’s very difficult to convey a complex concept with precision because you’ve got compression, decompression, you may not even have heard all the words correctly and so communication is difficult. What we have here is a failure to communicate. Cool add Luke."
Yes. Great movie.,"Yeah, great on."
"There’s an interpretation factor, too. Like you can choose to interpret certain series of words in different ways and they’re dependent upon tone, dependent upon social cues, even facial expressions, sarcasm. There’s a lot of variables.",Sarcasm is difficult.
Yes.,Yeah.
"…from first grade on, how to use some new universal language. I mean essentially like a Rosetta Stone and something that’s done, that interprets your thoughts and you can convey your thoughts with no room for interpretation. With clear, very clear, where you know what a person’s saying and you could tell them what you’re saying. There’s no need for noises, no need for mouth noises.",Yes.
"No need for these accepted ways that we’ve evolved to make sounds that we all agree, through our cultural dictionary, and we agree. We could bypass all that.",You can still do it for sentimental reasons.
Like campfires.,"Yeah, exactly. You don’t need campfire. Don’t need to roast marshmallows to have fun."
Right.,"So, yeah, I think you would, in principle you would be able to communicate very quickly and with far more precision ideas and language would, I’m not sure what would happen to language. You could probably in a situation like this, you would be able to just, it’d be kind of like the matrix. You want to speak a different language. No problem."
Right.,Just download the program.
"Right. So at least for the first iterations, first few iterations. I know that Google has some of their pixel buds have the ability to interpret languages in real time.",Sure.
Yeah. You can hear it and it’ll play things back to you in whatever language you choose. So it’d be something along those lines.,Yeah.
For the first few iterations.,"Well the first few iterations are, what I’m talking about is in the limit over time, with a lot of development. The first few iterations really in the first few versions all we’re going to be trying to do is solve brain injuries. So, don’t worry. It’s not going to sneak up on you. This will take awhile."
How many years? Before you don’t have to talk.,If the development continues to accelerate then maybe five years. Five to 10 years.
That’s quick. That’s really quick.,That’s the best case scenario.
No talking anymore in five years.,"Best case scenario, but 10 years is more like it."
"They’re like if you went from australopithecus or ancient hominid to us, what’s the difference? Less hair, less muscle, bigger head and then just keep going. A thousand, a million, whatever year or five years, whatever. Whatever happens when Neuralink goes on online and then we slowly start to adapt to this new way of being where we don’t use our muscles anymore. We have this gigantic head, we can talk without words.",You could also save state.
Save state?,Save your brain state like a saved game in a video game.
Whoa. Like if you want to swap from Windows 95.,"Well, hopefully a little better than that. But, yeah."
I think we are Windows 95 right now.,"From a [inaudible 00:34:54] perspective probably. But yeah, I mean you could save state and restore that state into a biological being if you wanted to in the future in principle, nothing from a physics standpoint that prevents us. Now, you’d be a little different, but then you’re also a little different when you wake up in the morning from yesterday and you’re a little different. In fact, if you say like you five years ago versus you today is quite a big difference."
Yes.,So you’d be substantially you. I mean you’d certainly think you’re you.
"But the idea of saving yourself and then transforming that into some sort of a biological state, you can hang out with 30 year old you?",I mean the possibilities are endless.
It’s so weird.,"I mean, just think like how your phone, you can record videos from your phone. There’s no way you could remember a video as accurately as your phone or a camera could. So now if you’ve got like some version 10 Neuralink, whatever and far in the future, you could recall everything, just like it’s a movie."
Crystal clear.,Including all the entire sensory experience.
"Emotions, everything.",Everything.
Everything.,Everything and play it back and in fact you can edit it.
Edit it?,Yeah.
So you can change your past?,You could change what you think was your past. Yeah.
"Well, so if you had a dramatic experience?",This whole thing right now could be a replayed memory.
It could be.,Yeah.
It may be. What’s the odds of this being a replayed memory? If you had a guess. More than 50%.,There’s no way to assign a probability with accuracy here.
"Right. But roughly, if you had a just gut instinct.","Well, I don’t have a Neuralink in my brain, so I’d say right now 0%, but at the point at which you do have a Neuralink, then it rises above 0%."
"The idea that we’re experiencing some sort of a preserved memory is, even though it’s still the same, it’s not comforting. Right? For some reason when people talk about simulation theory, they talk about the potential for this currently being a simulation. Even though your life might be wonderful, you might be in love, you might love your career, you might have great friends, but it’s not comforting to know that this experience somehow or another doesn’t exist in a material form that you can knock on.",It feels real doesn’t it?
"It feels real. But the idea that it’s not, for some strange reason, disconcerting.","Yeah. I’m sure, it should be disconcerting because if this is not real, what is? But, there’s that old sort of thought experiment of like, how do you know you’re not a brain in a vent? I mean now here’s the thing. You are a brain in a vent, then that vat is your skull."
Yes.,"Everything you see, feel, hear, everything, all your senses are electrical signals, everything. Everything is an electrical signal to a brain in a vent with a vat as our skull."
"All your hormones, all your neuro-transmitters, all these things are drugs. Adrenaline’s a drug. Dopamine is a drug. You’re a drug factory. You’re constantly changing your state with love and oxytocin and beauty.",Sure.
Changes your state. Great music changes your state.,"Absolutely. Yet, here’s another sort of interesting idea, which is, because you say like where did consciousness arise? Well, assuming you believe the belief in physics, which proves to be true, then the universe started off as basically quarks and leptons and it quickly became hydrogen and helium, lithium, basically elements of the periodic table. But it was mostly hydrogen basically. Then over a long period of time, 13.8 billion years later that hydrogen became sentient. What’s the line of consciousness and not consciousness between hydrogen and here?"
"When do we call it, when do we call it consciousness? I was watching a video today that we played on a podcast earlier of a monkey riding a motorcycle down the street, jumps off the motorcycle and tries to steal a baby.",Yeah. I saw that one. It went viral.
Is that monkey conscious? It seems like it is. It seems like it had a plan. It was riding a fucking motorcycle and then jumped off the motorcycle to try to steal a baby.,The one that just dragged the baby down the street pretty far?
"Yeah. It seems pretty conscious, right?",There’s definitely some degree of consciousness there.
"That one day will be so far removed from what this is. We’ll look back on this, the way we look back now on simple organisms that we evolved from. That it won’t be that far in the future that we do have this view back.","Well, I hope consciousness propagates into the future and it gets more sophisticated and complex and that it understands the questions to ask about the universe."
"Do you think that’s the case? As a human being, as yourself, you’re clearly trying to make conscious decisions to be a better version of you. This is the idea of like getting rid of your possessions and realizing that you’re trying to like, “I don’t like this. I will try to improve this. I would try to do a better version of the way I interface with reality.” That this is always the way things are, if you’re moving in some sort of a direction where you’re trying to improve things, you’re always going to move into this new place where you look back on the old place and go, “I was doing it wrong back then.” So this is an accelerated version of that. A super accelerated version of that.","I mean, you don’t always improve, but you can aspire to improve or you can aspire to be less wrong."
Yeah.,"This is like, I think the tools of physics are very powerful. Just assume you’re wrong and your goal is to be less wrong. I don’t think you’re going to succeed every day in being less wrong, but if you’re going to succeed in being less wrong, most of the time you’re doing great."
"That’s a great way of putting it. Aspire to be less wrong. But then when people look back in nostalgia about simpler times, there’s that too. It’s very romantic and exciting to look back on campfires.",You can still have a campfire.
Yes. But will you appreciate it when you’re a super nerd? When you connect it to the grid and you have some skull cap in place of the top of your head and it’s interfacing with the international language that the rest of the universe now enjoys communication with people?,Yeah. Sure. I think so. Yeah. I like campfires.
"I’m just worried. I mean, everyone’s always scared of change, but I’m scared of this monumental change where we won’t talk anymore. I mean that thing that you [crosstalk 00:42:53].",We’ll communicate.
"Yes, but there’s something about the beauty of the crudeness of language where when it’s done eloquently, it’s satisfying and it hits us in some sort of a visceral way. Like, ah, that person nailed it. I love that they nailed it. That it’s so hard to capture a real thought and convey it in a way, in this articulate way. You read a quote, a great quote by a wise person. It makes you excited that their mind figured something out, put the words together in a right way that makes your brain pop like, “Oh yes. Yes.”",It’s clever compression of a concept and a feeling.
But the fact that a human did it too.,"Yeah, absolutely."
Do you think that it will be like electronic music? Like people won’t appreciate it like they appreciate a slide guitar?,I like electronic music.
I do too. Well you make it. I know you like it.,Sure.
"Yeah, yeah, yeah.","Yeah, I mean I hope the future is more fun and interesting and we’re just trying to make it that way."
I hope it’s more fun and interesting too.,Yeah.
I just hope we don’t lose anything along the way.,"We might lose a little, but hopefully we gain more than lose."
"Yeah. That’s the thing, right? Gaining more than we lose. Something that makes us interesting is that we’re so flawed.","It’s not for sure. Yeah. I mean you look at civilization through the ages, most of them they rose and fell."
Yeah.,"I do think the globalization that we have, sort of like the meme sphere, is there’s not enough isolation between countries or regions. It’s like if you get, if there’s a mind virus that that mind virus can infect too much of the world. I actually sort of sympathize with the anti-globalization people, because it’s like, man, we don’t ever want everywhere to be the same for sure. Then we need some kind of mind viral immunity. So that’s a bit concerning."
"Mind viral immunity, meaning that once something like Neuralink gets established, the real concern is something that, I mean you said it’s Bluetooth, right? Or some future version of that. The idea is that something could possibly get into it, fuck it up.","No, I’m talking about like somebody, some cockeyed concept that happens right now."
"Well I know this virus is in embedded chips, right? They’ve embedded chips and then acquired viruses.","Well, when I’m talking about a mind virus, I’m talking about a concept that infects people’s minds."
"Oh, okay. Okay. Like cult thinking or some sort of fundamentalism.",Yeah. It’s just wrongheaded idea that goes viral in an idea sense.
"Well that is a problem too, right? If someone can manipulate that technology to make something appear logical or rational.",Yeah. Yeah.
"Would that be an issue too, this is a very have versus have not issue. If this really does, I mean initially it’s going to help people with injuries, but you said ultimately it could lead to this spectacular cognitive change.",Yes.
But the people that first get it should have a massive advantage over people that don’t have it yet.,"Well, I mean it’s the kind of thing where your productivity would improve, I don’t know, dramatically, maybe by a factor of 10 with it. So you could definitely just, I don’t know, take out a loan and do it and earn the money back real fast. Be super smart."
"Well in a capitalist society, it seems like you could really get so far ahead that before everybody else could afford this thing and link up and get connected as well. You’d be so far ahead, they can never catch you. Is that a concern?","Well, it’s not a super huge concern. I mean there are huge differences in cognitive ability and resources already. You can think of a corporation as like a cybernetic collective that’s far smarter than an individual. I couldn’t personally build a whole rocket and the engines and launch it and everything. That’s impossible."
"Well, it’s not a super huge concern. I mean there are huge differences in cognitive ability and resources already. You can think of a corporation as like a cybernetic collective that’s far smarter than an individual. I couldn’t personally build a whole rocket and the engines and launch it and everything. That’s impossible.","But we have 8,000 people at SpaceX and you’re piecing it out to different people and using computers and machines and stuff. We can make lots of rockets launch into orbit, dock with the space station and that kind of thing. So that already exists where those corporations are vastly more capable than an individual. But we should be, I think less concerned about relative capabilities between people and more like having AI be vastly beyond us and decoupled from human will."
"Decoupled from human. So this is the, if you can’t beat them, join them?",Yeah.
"So you feel like it’s inevitable, AI, essentially AI is essentially inevitable.","Super sentient to AI. Yeah, like beyond a level that’s difficult to understand and impossible to understand probably."
"Somehow or another, so it’s almost like it’s a requirement for survival to achieve some sort of symbiotic existence with AI.","It’s not a requirement. It’s just if you want to be along for the ride then you need to do some kind of symbiosis. So the way your brain works right now, you’ve got kind of like the animal brain, reptile brain, kind of like the lymphic system basically. You’ve got the cortex. Now the brain purist will argue with this definition, but essentially you’ve got the primitive brain and you’ve got the sort of smart brain or the brain that’s capable of planning and understanding concepts and difficult things that a monkey can’t understand."
"It’s not a requirement. It’s just if you want to be along for the ride then you need to do some kind of symbiosis. So the way your brain works right now, you’ve got kind of like the animal brain, reptile brain, kind of like the lymphic system basically. You’ve got the cortex. Now the brain purist will argue with this definition, but essentially you’ve got the primitive brain and you’ve got the sort of smart brain or the brain that’s capable of planning and understanding concepts and difficult things that a monkey can’t understand.","Now your cortex is much, much smarter than your lymphic system. Nonetheless, they work together well. So I haven’t met anyone who wants to delete their lymphic system or their cortex. People are quite happy having both. So you can think of this as being like the computer, the AI is like a third layer, a tertiary layer. So that could be symbiotic with the cortex. It’d be much smarter than the cortex, but you essentially have three layers and you actually have that right now."
